Period,IUST,FAIUST,REUST,PSUST
Jul-04,"2,944","8,534","11,727","19,729"
Aug-04,"3,343","9,842","15,325","23,750"
Sep-04,"3,344","9,698","15,224","23,115"
Oct-04,"3,499","9,731","15,189","23,519"
Nov-04,"3,882","10,837","16,831","25,583"
Dec-04,"3,718","9,733","15,108","23,801"
Jan-05,"3,993","11,528","16,970","24,974"
Feb-05,"4,045","10,809","16,733","25,775"
Mar-05,"3,873","10,338","16,814","25,303"
Apr-05,"4,034","10,740","17,439","25,321"
May-05,"3,914","10,734","17,643","25,434"
Jun-05,"4,070","11,139","18,465","25,730"
Jul-05,"4,005","10,855","18,629","25,217"
Aug-05,"3,747","10,986","18,382","25,292"
Sep-05,"3,375","9,173","17,064","22,189"
Oct-05,"4,176","11,773","21,862","28,553"
Nov-05,"4,384","11,434","21,061","27,212"
Dec-05,"4,794","11,426","20,960","29,294"
Jan-06,"4,393","10,892","19,683","26,770"
Feb-06,"4,470","11,039","20,530","27,487"
Mar-06,"4,488","11,698","20,492","27,243"
Apr-06,"4,479","11,580","20,755","27,679"
May-06,"4,539","11,826","20,574","27,072"
Jun-06,"4,624","11,269","19,877","26,994"
Jul-06,"4,603","11,804","19,599","27,409"
Aug-06,"4,681","11,434","20,086","27,474"
Sep-06,"4,687","11,035","19,085","26,163"
Oct-06,"4,535","10,572","18,653","26,135"
Nov-06,"4,250","9,972","18,326","26,446"
Dec-06,"5,133","12,548","21,539","31,588"
Jan-07,"4,314","11,451","18,537","26,837"
Feb-07,"4,483","12,040","19,385","27,934"
Mar-07,"4,569","11,829","19,397","27,598"
Apr-07,"4,566","11,766","18,792","27,467"
May-07,"4,576","12,080","18,913","28,537"
Jun-07,"4,522","12,160","18,981","28,477"
Jul-07,"4,753","12,181","18,800","28,492"
Aug-07,"4,630","11,808","18,064","28,634"
Sep-07,"4,795","12,766","17,520","29,844"
Oct-07,"5,038","13,565","14,855","31,047"
Nov-07,"4,591","12,494","12,629","28,789"
Dec-07,"5,382","14,112","13,867","33,330"
Jan-08,"4,685","12,430","11,467","27,904"
Feb-08,"4,609","11,954","11,697","28,274"
Mar-08,"4,950","12,790","12,077","29,855"
Apr-08,"4,932","12,592","11,706","29,994"
May-08,"5,033","12,456","11,655","29,674"
Jun-08,"4,991","12,251","11,414","29,222"
Jul-08,"4,791","12,155","11,195","29,778"
Aug-08,"4,856","12,459","11,756","30,693"
Sep-08,"4,839","11,846","11,158","29,753"
Oct-08,"4,672","11,641","10,629","29,284"
Nov-08,"4,481","11,807","10,507","29,423"
Dec-08,"4,230","10,301","9,446","27,686"
Jan-09,"4,862","11,304","9,974","30,363"
Feb-09,"4,535","11,109","9,735","28,872"
Mar-09,"4,564","11,150","9,487","29,934"
Apr-09,"4,589","11,261","9,619","29,887"
May-09,"4,593","11,078","9,673","30,143"
Jun-09,"4,596","11,201","9,498","30,754"
Jul-09,"4,758","11,418","9,869","31,398"
Aug-09,"4,734","10,663","9,467","30,511"
Sep-09,"4,644","11,168","9,697","30,937"
Oct-09,"4,714","10,525","9,815","31,002"
Nov-09,"4,872","10,659","9,465","31,114"
Dec-09,"4,753","10,497","9,581","30,163"
Jan-10,"4,683","11,021","9,681","30,356"
Feb-10,"4,727","10,708","9,666","30,586"
Mar-10,"4,801","10,868","9,715","30,280"
Apr-10,"4,745","10,826","9,545","30,823"
May-10,"4,829","10,943","9,803","31,362"
Jun-10,"4,660","10,678","9,507","30,291"
Jul-10,"4,867","10,431","9,666","30,759"
Aug-10,"4,789","10,613","9,722","30,845"
Sep-10,"4,929","10,766","10,118","31,829"
Oct-10,"4,901","11,093","9,855","31,274"
Nov-10,"5,168","11,250","10,151","32,796"
Dec-10,"4,777","10,444","9,474","30,554"
Jan-11,"5,260","11,110","9,857","32,730"
Feb-11,"5,175","11,098","10,219","33,742"
Mar-11,"4,980","10,704","9,839","31,877"
Apr-11,"5,025","10,880","10,081","31,930"
May-11,"4,370","9,978","9,374","27,818"
Jun-11,"5,302","11,726","10,798","33,112"
Jul-11,"5,085","11,519","9,933","32,381"
Aug-11,"5,044","11,276","10,041","32,083"
Sep-11,"5,075","11,200","9,917","32,059"
